name,lat,long
"Kuala Lumpur","3.133333","101.683333"
"King Edward Point","-54.283333","-36.5"
"Kabul","34.533333","69.166667"
"Kiev","50.45","30.523333"
"Kathmandu","27.7","85.333333"
"Kingston, Jamaica","17.983333","-76.8"
"Kampala","0.313611","32.581111"
"Khartoum","15.633333","32.533333"
"Helsinki","60.170833","24.9375"
"Juba","4.85","31.6"
"Jamestown, Saint Helena","-15.924444","-5.718056"
"Honiara","-9.433333","159.95"
"Kingstown","13.157778","-61.225"
"Kigali","-1.943889","30.059444"
"Jakarta","-6.2","106.816667"
"Putrajaya","2.943095","101.699373"
"Havana","23.133333","-82.383333"
"Hargeisa","9.566667","44.066667"
"Harare","-17.863889","31.029722"
"Hong Kong","22.3","114.2"
"Hagatna, Guam","13.479167","144.75"
"Hanoi","21.028472","105.854167"
"Gustavia, Saint Bartholemy","17.897908","-62.850556"
"Islamabad","33.716667","73.066667"
"Hanga Roa","-27.133333","-109.416667"
"Georgetown, Guyana","6.8","-58.166667"
"Georgetown, Ascension Island","-7.928611","-14.411667"
"Episkopi Cantonment","34.676","32.8375"
"Gibraltar","36.133333","-5.35"
"Hamilton, Bermuda","32.293","-64.782"
"Guatemala City","14.613333","-90.535278"
"Jerusalem","31.783333","35.216667"
"Flying Fish Cove","-10.421667","105.678056"
"George Town, Cayman Islands","19.3034","-81.3863"
"Fort-de-France","14.6","-61.0833"
"Edinburgh of the Seven Seas","-37.067278","-12.31"
"Ramallah","31.9","35.2"
"Dushanbe","38.536667","68.78"
"Djibouti (city)","11.588333","43.145"
"Freetown","8.484444","-13.234444"
"Dublin","53.347778","-6.259722"
"Douglas, Isle of Man","54.145","-4.482"
"Funafuti","-8.5152","179.199401"
"Dodoma","-6.173056","35.741944"
"Gaborone","-24.658056","25.912222"
"Dakar","14.692778","-17.446667"
"Dili","-8.566667","125.566667"
"Castries","14.016667","-60.983333"
"Charlotte Amalie, U.S. Virgin Islands","18.35","-64.95"
"Conakry","9.516667","-13.7"
"Doha","25.286667","51.533333"
"Cockburn Town","21.459","-71.139"
"Cayenne","4.9372","-52.326"
"Dhaka","23.7","90.366667"
"Caracas","10.5","-66.916667"
"Bujumbura","-3.383333","29.366667"
"City of Brussels","50.85","4.35"
"Canberra","-35.3075","149.124417"
"Copenhagen","55.676111","12.568333"
"Damascus","33.513056","36.291944"
"Budapest","47.4925","19.051389"
"Bridgetown","13.105833","-59.613056"
"Cairo","30.05","31.233333"
"Bamako","12.65","-8"
"Brasilia","-15.793889","-47.882778"
"Bratislava","48.143889","17.109722"
"Buenos Aires","-34.603333","-58.381667"
"Baku","40.395278","49.882222"
"Brazzaville","-4.267778","15.291944"
"Asuncion","-25.266667","-57.633333"
"Bucharest","44.4325","26.103889"
"Astana","51.166667","71.433333"
"Ashgabat","37.933333","58.366667"
"Apia","-13.833333","-171.75"
"Asmara","15.333333","38.933333"
"Avarua","-21.2","-159.766667"
"Andorra la Vella","42.5","1.5"
"Baghdad","33.333333","44.433333"
"Athens","37.966667","23.716667"
"Antananarivo","-18.933333","47.516667"
"Alofi, Niue","-19.05","-169.9"
"Amsterdam","52.366667","4.9"
"Addis Ababa","9.03","38.74"
"Amman","31.949722","35.932778"
"Accra","5.55","-0.2"
"Adamstown, Pitcairn Islands","-25.066667","-130.1"
"Abuja","9.066667","7.483333"
"Algiers","36.766667","3.216667"
"Ankara","39.933333","32.866667"
