,api_id,name,lat,long
134,99548,Al Aziziyah,32.90583,45.06163
135,1733432,Kota Kinabalu,5.9749,116.072403
136,4030699,"Henderson, Ducie and Oeno Islands Pitcairn",-25.066669,-130.100006
137,1150515,Surat Thani,9.14011,99.333107
138,4152564,Cutler,25.615101,-80.310608
139,4695066,Greenville,33.138451,-96.110809
140,3399377,Fortuna,-5.73333,-44.158329
141,933109,Sehithwa,-20.466669,22.716669
142,6930873,Ostrov Paskhi,-27.11124,-109.350533
143,1280048,Segong,32.216671,92.116669
144,1910930,Shenbai,35.36668,111.148079
145,1919762,Hexi,23.316071,116.547829
146,3374211,Sao Domingos,15.02438,-23.5625
147,651889,Kolari,67.330467,23.777849
148,7626969,Murilo Municipality,8.692,152.341995
149,7645754,Ifalik,7.25,144.444504
150,7648752,Kolonia,6.964,158.206406
151,257126,Methana,37.58234,23.39142
152,3589983,San Jose Ojetenan,15.21667,-91.966667
153,7333626,Banjar Kebon,-8.5403,115.052597
154,7426761,Retenggoma,-8.6662,122.068001
155,8018010,Dangur,-7.3598,108.083603
156,191675,Kipini,-2.52565,40.526199
157,7521903,Banana Village,1.98329,-157.365265
158,7601765,Ambo Village,1.35317,173.042587
159,1872726,Panghyon-dong,39.887218,125.241386
160,2278889,Barclayville,4.67972,-8.23389
161,7306517,Lae,8.92217,166.263443
162,2344804,Dindima,10.22629,10.15132
163,3147747,Lensvik,63.513889,9.80611
164,4030556,Rikitea,-23.120279,-134.969177
165,4033094,Vairao,-17.783331,-149.283325
166,4034188,Moerai,-22.433331,-151.333328
167,1684986,Tabing,11.4,124.349998
168,1691872,Ransang,8.96028,117.582779
169,1701400,Manuel Roxas,6.44528,124.666672
170,2263327,Sao Joao das Lampas,38.87376,-9.39842
171,3372707,Ribeira Grande,38.51667,-28.700001
172,7732276,Ngchemiangel,7.44613,134.476776
173,110031,Al Artawiyah,26.50526,45.344372
174,369004,Nyala,12.05,24.883329
175,2675416,Solleftea,63.166672,17.26667
176,2411397,Georgetown,-7.93333,-14.41667
177,3370726,Edinburgh of the Seven Seas,-37.06757,-12.31155
178,150689,Poli,-3.33333,36.799999
179,4704188,La Villa,26.298679,-97.928612
180,5333219,Cambrian Park,37.256889,-121.930794
181,5400996,Talmage,39.133228,-123.167778
182,5470850,Hatch,32.665359,-107.153069
183,5698040,Ogallala,41.128052,-101.71962
184,5749022,Rockaway Beach,45.613441,-123.942909
185,5847662,Kalaheo,21.92416,-159.526855
186,5848308,Kapaau,20.233891,-155.801941
187,5866583,Kodiak,57.790001,-152.407227
188,7262802,Wailua Homesteads,22.066931,-159.378021
189,3441954,Los Cerrillos,-34.605,-56.356392
190,829964,Shumanay Shahri,42.634331,58.930599
191,3631333,Onoto,9.59714,-65.193497
192,2136150,Luganville,-15.53333,167.166672
193,73685,Kilmia,12.18576,52.233318
